simulation,frame,subframe,slot,sym1,sym2,sym3,sym4,sym5,sym6,sym7,sym8,sym9,sym10,sym11,sym12
1,79,4,0,3,3,3,3,3,3,3,3,3,3,3,3
1,79,5,0,3,3,3,3,3,3,3,3,3,3,2,3
1,79,6,0,3,3,3,3,3,3,3,3,3,3,3,3
1,79,7,0,3,3,3,3,3,3,3,3,3,3,3,3
1,79,8,0,3,3,3,3,3,3,3,3,3,3,3,3
1,79,9,0,3,3,3,3,3,3,3,3,3,3,1,3
1,80,0,0,3,3,3,3,3,3,3,3,3,3,3,3
1,80,1,0,3,3,3,3,3,3,3,3,3,3,3,3
1,80,2,0,3,3,3,3,3,3,3,3,3,3,3,3
1,80,3,0,3,3,3,3,3,3,3,3,3,3,3,3
1,80,4,0,3,3,3,3,3,3,3,3,3,3,3,3
1,80,5,0,3,3,3,3,3,3,3,3,3,3,3,3
1,80,6,0,3,3,3,3,3,3,3,3,3,3,2,3
1,80,7,0,3,3,3,3,3,3,3,3,3,3,3,3
1,80,8,0,3,3,3,3,3,3,3,3,3,3,3,3
1,80,9,0,3,3,3,3,3,3,3,3,3,3,3,3
1,81,0,0,3,3,3,3,3,3,3,3,3,3,3,3
1,81,1,0,3,3,3,3,3,3,3,3,3,3,3,3
1,81,2,0,3,3,3,3,3,3,3,3,3,3,3,3
1,81,3,0,3,3,3,3,3,3,3,3,3,3,3,3
1,81,4,0,3,3,3,3,3,3,3,3,3,3,3,3
1,81,5,0,3,3,3,3,3,3,3,3,3,3,3,3
1,81,6,0,3,3,3,3,3,3,3,3,3,3,3,3
1,81,7,0,3,3,3,3,3,3,3,3,3,3,2,3
1,81,8,0,3,3,3,3,3,3,3,3,3,3,3,3
1,81,9,0,3,3,3,3,3,3,3,3,3,3,3,3
1,82,0,0,3,3,3,3,3,3,3,3,3,3,3,3
1,82,1,0,3,3,3,3,3,3,3,3,3,3,3,3
1,82,2,0,3,3,3,3,3,3,3,3,3,3,3,3
1,82,3,0,3,3,3,3,3,3,3,3,3,3,3,3
1,82,4,0,3,3,3,3,3,3,3,3,3,3,3,3
1,82,5,0,3,3,3,3,3,3,3,3,3,3,1,3
1,82,6,0,3,3,3,3,3,3,3,3,3,3,3,3
1,82,7,0,3,3,3,3,3,3,3,3,3,3,3,3
1,82,8,0,3,3,3,3,3,3,3,3,3,3,3,3
